Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_1206_3216Metric",347.200000,-83.800000,-90.000000,bottom
"C2","100u","C_1206_3216Metric",355.600000,-89.600000,180.000000,bottom
"C3","8p","C_0402_1005Metric",329.647500,-98.612500,180.000000,bottom
"C4","8p","C_0402_1005Metric",327.447500,-98.602500,180.000000,bottom
"C5","4u7","C_0402_1005Metric",333.580000,-92.380000,-90.000000,bottom
"C6","100n","C_0402_1005Metric",335.140000,-93.220000,-90.000000,bottom
"C7","100n","C_0402_1005Metric",335.580000,-91.170000,0.000000,bottom
"C8","100n","C_0402_1005Metric",335.580000,-90.070000,0.000000,bottom
"C9","100n","C_0402_1005Metric",325.850000,-82.300000,180.000000,bottom
"C10","2u2","C_0603_1608Metric",326.150000,-80.250000,180.000000,bottom
"C11","100n","C_0402_1005Metric",334.590000,-80.470000,180.000000,bottom
"C12","1u","C_0402_1005Metric",329.150000,-92.425000,0.000000,bottom
"C13","100n","C_0402_1005Metric",148.610000,-134.130000,-90.000000,bottom
"C14","100n","C_0402_1005Metric",204.590000,-133.480000,-90.000000,bottom
"C15","100n","C_0402_1005Metric",325.390000,-154.347500,-90.000000,bottom
"C16","100n","C_0402_1005Metric",283.718000,-136.172000,-90.000000,bottom
"C17","100n","C_0402_1005Metric",109.370000,-134.430000,-90.000000,bottom
"C18","100n","C_0402_1005Metric",63.425000,-132.785000,180.000000,bottom
"C19","100n","C_0402_1005Metric",49.780000,-76.562500,90.000000,bottom
"C20","100n","C_0402_1005Metric",55.380000,-75.542500,-90.000000,bottom
"C21","100n","C_0402_1005Metric",87.880000,-76.562500,90.000000,bottom
"C22","100n","C_0402_1005Metric",93.480000,-75.542500,-90.000000,bottom
"C23","100n","C_0402_1005Metric",106.930000,-76.562500,90.000000,bottom
"C24","100n","C_0402_1005Metric",112.530000,-75.542500,-90.000000,bottom
"C25","100n","C_0402_1005Metric",125.980000,-76.562500,90.000000,bottom
"C26","100n","C_0402_1005Metric",131.580000,-75.542500,-90.000000,bottom
"C27","100n","C_0402_1005Metric",145.030000,-76.562500,90.000000,bottom
