Comment,Designator,Footprint,LCSC
STM32F303CBTx,U2,LQFP-48_7x7mm_P0.5mm,C108516
1k,R95,R_0402_1005Metric,C11702
10u,"C1,C191",C_1206_3216Metric,C13585
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
H5VU25U,U1,DFN2510,C138714
100u,C2,C_1206_3216Metric,C15008
10nF,C11,C_0402_1005Metric,C15195
USB-C 2.0 Receptacle,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1,"R102,R103",R_1206_3216Metric,C17928
CD74HC4067M,"U3,U4,U5,U6,U7,U8",TSSOP-24_4.4x7.8mm_P0.65mm,C179326
0,R105,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21189
1N4148WS,D1,D_SOD-323,C2128
330k,R89,R_0603_1608Metric,C23137
4u7,C5,C_0402_1005Metric,C23733
100,R94,R_0402_1005Metric,C25076
100k,R93,R_0402_1005Metric,C25741
10k,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R5,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R7,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R9,R91,R92,R96",R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
1M,R90,R_0402_1005Metric,C26083
PRTR5V0U2X,U9,SOT-143_Handsoldering,C2827688
SLSS49E-3,"HALL1,HALL10,HALL11,HALL12,HALL13,HALL14,HALL15,HALL16,HALL17,HALL18,HALL19,HALL2,HALL20,HALL21,HALL22,HALL23,HALL24,HALL25,HALL26,HALL27,HALL28,HALL29,HALL3,HALL30,HALL31,HALL32,HALL33,HALL34,HALL35,HALL36,HALL37,HALL38,HALL39,HALL4,HALL40,HALL41,HALL42,HALL43,HALL44,HALL45,HALL46,HALL47,HALL48,HALL49,HALL5,HALL50,HALL51,HALL52,HALL53,HALL54,HALL55,HALL56,HALL57,HALL58,HALL59,HALL6,HALL60,HALL61,HALL62,HALL63,HALL64,HALL65,HALL66,HALL67,HALL68,HALL69,HALL7,HALL70,HALL71,HALL72,HALL73,HALL74,HALL75,HALL76,HALL77,HALL78,HALL79,HALL8,HALL80,HALL81,HALL82,HALL83,HALL84,HALL85,HALL86,HALL9",SLSS49E-3 with MX holes,C2904393
100n,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C13,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C14,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C15,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C16,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C17,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C18,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C19,C190,C192,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric,C307331
SW_SPST,SW1,SW_SPST_TL3342,C318884
8p,"C3,C4",C_0402_1005Metric,C32949
1uF,C10,C_0402_1005Metric,C52923
AMS1117-3.3,U10,SOT-223-3_TabPin2,C6186
2N7002,"Q1,Q2",SOT-23,C8545
