Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,347.2,-83.8,270.0,bottom
C2,100u,C_1206_3216Metric,355.6,-89.6,180.0,bottom
C3,8p,C_0402_1005Metric,328.545,-98.61,180.0,bottom
C4,8p,C_0402_1005Metric,326.345,-98.6,180.0,bottom
C5,4u7,C_0402_1005Metric,335.0225,-91.1725,180.0,bottom
C6,100n,C_0402_1005Metric,324.5975,-82.3475,0.0,bottom
C7,100n,C_0402_1005Metric,334.772,-82.042,0.0,bottom
C8,100n,C_0402_1005Metric,335.0225,-90.0975,180.0,bottom
C9,100n,C_0402_1005Metric,324.5975,-81.3375,0.0,bottom
C10,1uF,C_0402_1005Metric,327.528089,-92.518089,225.0,bottom
C11,10nF,C_0402_1005Metric,326.4275,-93.1475,225.0,bottom
C13,100n,C_0402_1005Metric,148.61,-134.13,270.0,bottom
C14,100n,C_0402_1005Metric,204.59,-133.48,270.0,bottom
C15,100n,C_0402_1005Metric,325.39,-154.3475,270.0,bottom
C16,100n,C_0402_1005Metric,283.718,-136.172,270.0,bottom
C17,100n,C_0402_1005Metric,109.37,-134.43,270.0,bottom
C18,100n,C_0402_1005Metric,63.425,-132.785,0.0,bottom
C19,100n,C_0402_1005Metric,49.78,-76.5625,90.0,bottom
C20,100n,C_0402_1005Metric,55.38,-75.5425,270.0,bottom
C21,100n,C_0402_1005Metric,87.88,-76.5625,90.0,bottom
C22,100n,C_0402_1005Metric,93.48,-75.5425,270.0,bottom
C23,100n,C_0402_1005Metric,106.93,-76.5625,90.0,bottom
C24,100n,C_0402_1005Metric,112.53,-75.5425,270.0,bottom
C25,100n,C_0402_1005Metric,125.98,-76.5625,90.0,bottom
C26,100n,C_0402_1005Metric,131.58,-75.5425,270.0,bottom
C27,100n,C_0402_1005Metric,145.03,-76.5625,90.0,bottom
C28,100n,C_0402_1005Metric,150.63,-75.5425,270.0,bottom
C29,100n,C_0402_1005Metric,173.605,-76.5625,90.0,bottom
C30,100n,C_0402_1005Metric,179.205,-75.5425,270.0,bottom
C31,100n,C_0402_1005Metric,192.655,-76.5625,90.0,bottom
C32,100n,C_0402_1005Metric,198.255,-75.5425,270.0,bottom
C33,100n,C_0402_1005Metric,211.705,-76.5625,90.0,bottom
C34,100n,C_0402_1005Metric,217.305,-75.5425,270.0,bottom
C35,100n,C_0402_1005Metric,230.755,-76.5625,90.0,bottom
C36,100n,C_0402_1005Metric,236.355,-75.5425,270.0,bottom
