Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0402,20.2125,-62.359999,90.0,bottom
C100,4.7nF,C_0402,234.525,-162.372499,90.0,bottom
C101,0.1uF,C_0402,158.0875,-105.222499,90.0,bottom
C102,0.1uF,C_0402,177.1375,-105.222499,90.0,bottom
C103,0.1uF,C_0402,43.153125,-120.263124,0.0,bottom
C104,0.1uF,C_0402,89.5875,-120.263124,0.0,bottom
C105,0.1uF,C_0402,196.1875,-105.222499,90.0,bottom
C106,0.1uF,C_0402,127.6875,-120.263124,0.0,bottom
C107,4.7nF,C_0402,270.24375,-143.322499,90.0,bottom
C108,4.7nF,C_0402,310.725,-62.359999,90.0,bottom
C109,0.1uF,C_0402,203.8875,-120.263124,0.0,bottom
C110,0.1uF,C_0402,165.7875,-120.263124,0.0,bottom
C111,0.1uF,C_0402,215.2375,-105.222499,90.0,bottom
C112,0.1uF,C_0402,234.2875,-105.222499,90.0,bottom
C113,0.1uF,C_0402,270.00625,-124.272499,90.0,bottom
C114,0.1uF,C_0402,253.3375,-105.222499,90.0,bottom
C115,0.1uF,C_0402,277.15,-105.222499,90.0,bottom
C116,4.7nF,C_0402,310.725,-86.172499,90.0,bottom
C117,0.1uF,C_0402,19.975,-105.222499,90.0,bottom
C118,4.7nF,C_0402,310.725,-105.222499,90.0,bottom
C119,0.1uF,C_0402,239.05,-124.272499,90.0,bottom
C120,0.1uF,C_0402,220.0,-124.272499,90.0,bottom
C121,0.1uF,C_0402,200.95,-124.272499,90.0,bottom
C122,0.1uF,C_0402,67.6,-124.272499,90.0,bottom
C123,0.1uF,C_0402,181.9,-124.272499,90.0,bottom
C124,0.1uF,C_0402,162.85,-124.272499,90.0,bottom
C125,0.1uF,C_0402,143.8,-124.272499,90.0,bottom
C126,0.1uF,C_0402,124.75,-124.272499,90.0,bottom
C127,0.1uF,C_0402,48.55,-124.272499,90.0,bottom
C128,0.1uF,C_0402,86.65,-124.272499,90.0,bottom
C129,0.1uF,C_0402,105.7,-124.272499,90.0,bottom
C130,0.1uF,C_0402,22.35625,-124.272499,90.0,bottom
C131,0.1uF,C_0402,27.11875,-143.322499,90.0,bottom
C133,0.1uF,C_0402,58.075,-143.322499,90.0,bottom
C134,0.1uF,C_0402,265.24375,-143.322499,90.0,bottom
C135,0.1uF,C_0402,305.725,-86.172499,90.0,bottom
C136,0.1uF,C_0402,229.525,-143.322499,90.0,bottom
C137,0.1uF,C_0402,210.475,-143.322499,90.0,bottom
C138,0.1uF,C_0402,191.425,-143.322499,90.0,bottom
C139,0.1uF,C_0402,172.375,-143.322499,90.0,bottom
C140,0.1uF,C_0402,153.325,-143.322499,90.0,bottom
C141,0.1uF,C_0402,77.125,-143.322499,90.0,bottom
C142,0.1uF,C_0402,96.175,-143.322499,90.0,bottom
C143,0.1uF,C_0402,115.225,-143.322499,90.0,bottom
C144,0.1uF,C_0402,134.275,-143.322499,90.0,bottom
C145,4.7nF,C_0402,329.775,-143.322499,90.0,bottom
C147,0.1uF,C_0402,19.975,-162.372499,90.0,bottom
C148,0.1uF,C_0402,43.7875,-162.372499,90.0,bottom
C149,0.1uF,C_0402,67.6,-162.372499,90.0,bottom
C15,4.7nF,C_0402,277.3875,-86.172499,90.0,bottom
C150,0.1uF,C_0402,305.725,-105.222499,90.0,bottom
C151,4.7nF,C_0402,310.725,-162.372499,90.0,bottom
C152,4.7nF,C_0402,329.775,-62.359999,90.0,bottom
C153,0.1uF,C_0402,241.9875,-120.263124,0.0,bottom
C154,4.7nF,C_0402,329.775,-86.172499,90.0,bottom
C155,4.7nF,C_0402,329.775,-105.222499,90.0,bottom
C156,0.1uF,C_0402,275.325,-120.263124,0.0,bottom
C157,4.7nF,C_0402,329.775,-162.372499,90.0,bottom
C158,0.1uF,C_0402,229.525,-162.372499,90.0,bottom
C159,0.1uF,C_0402,253.3375,-162.372499,90.0,bottom
C16,4.7nF,C_0402,20.2125,-86.172499,90.0,bottom
C160,0.1uF,C_0402,277.15,-162.372499,90.0,bottom
C161,4.7nF,C_0402,348.825,-62.359999,90.0,bottom
C162,4.7nF,C_0402,348.825,-86.172499,90.0,bottom
C163,0.1uF,C_0402,148.5625,-162.372499,90.0,bottom
C164,0.1uF,C_0402,345.571875,-120.263124,0.0,bottom
C166,4.7nF,C_0402,348.825,-105.222499,90.0,bottom
C167,0.1uF,C_0402,15.2125,-62.359999,90.0,bottom
C168,0.1uF,C_0402,305.725,-162.372499,90.0,bottom
C169,4.7nF,C_0402,24.975,-162.372499,90.0,bottom
C17,4.7nF,C_0402,24.975,-105.222499,90.0,bottom
C170,4.7nF,C_0402,48.7875,-162.372499,90.0,bottom
C171,4.7nF,C_0402,72.6,-162.372499,90.0,bottom
C172,4.7nF,C_0402,258.3375,-162.372499,90.0,bottom
C173,4.7nF,C_0402,282.15,-162.372499,90.0,bottom
C174,4.7nF,C_0402,348.825,-162.372499,90.0,bottom
C175,0.1uF,C_0402,324.775,-86.172499,90.0,bottom
C176,0.1uF,C_0402,324.775,-105.222499,90.0,bottom
C177,0.1uF,C_0402,39.025,-62.359999,90.0,bottom
C178,4.7nF,C_0402,153.5625,-162.372499,90.0,bottom
C179,0.1uF,C_0402,324.775,-143.322499,90.0,bottom
C18,4.7nF,C_0402,27.35625,-124.272499,90.0,bottom
C180,0.1uF,C_0402,324.775,-162.372499,90.0,bottom
C181,0.1uF,C_0402,343.825,-86.172499,90.0,bottom
C182,0.1uF,C_0402,343.825,-105.222499,90.0,bottom
C183,0.1uF,C_0402,58.075,-62.359999,90.0,bottom
C184,0.1uF,C_0402,343.825,-162.372499,90.0,bottom
C185,0.1uF,C_0402,77.125,-62.359999,90.0,bottom
C186,0.1uF,C_0402,96.175,-62.359999,90.0,bottom
C187,0.1uF,C_0402,119.9875,-62.359999,90.0,bottom
C188,0.1uF,C_0402,139.0375,-62.359999,90.0,bottom
C189,0.1uF,C_0402,158.0875,-62.359999,90.0,bottom
C19,4.7nF,C_0402,32.11875,-143.322499,90.0,bottom
C190,0.1uF,C_0402,177.1375,-62.359999,90.0,bottom
C191,0.1uF,C_0402,200.95,-62.359999,90.0,bottom
C192,0.1uF,C_0402,220.0,-62.359999,90.0,bottom
C193,0.1uF,C_0402,239.05,-62.359999,90.0,bottom
C194,0.1uF,C_0402,258.1,-62.359999,90.0,bottom
C195,0.1uF,C_0402,281.9125,-62.359999,90.0,bottom
C196,0.1uF,C_0402,305.725,-62.359999,90.0,bottom
C197,0.1uF,C_0402,324.775,-62.359999,90.0,bottom
C198,0.1uF,C_0402,343.825,-62.359999,90.0,bottom
C199,0.1uF,C_0402,303.725,-134.809999,315.0,bottom
C2,4.7nF,C_0402,44.025,-62.359999,90.0,bottom
C200,0.1uF,C_0402,303.725,-143.809999,225.0,bottom
C201,0.1uF,C_0402,312.475,-134.309999,135.0,bottom
C202,0.1uF,C_0402,313.225,-135.059999,135.0,bottom
C203,0.1uF,C_0402,314.475,-140.309999,180.0,bottom
C204,0.1uF,C_0402,308.975,-127.499999,90.0,bottom
C21,10uF,C_0402,294.33875,-69.397499,180.0,bottom
C22,4.7nF,C_0402,39.2625,-86.172499,90.0,bottom
C23,4.7nF,C_0402,48.7875,-105.222499,90.0,bottom
C24,4.7nF,C_0402,53.55,-124.272499,90.0,bottom
C25,10uF,C_0402,296.79875,-69.397499,0.0,bottom
C27,0.1uF,C_0402,34.2625,-86.172499,90.0,bottom
C28,4.7nF,C_0402,58.3125,-86.172499,90.0,bottom
C29,4.7nF,C_0402,67.8375,-105.222499,90.0,bottom
C3,4.7nF,C_0402,63.075,-62.359999,90.0,bottom
C30,4.7nF,C_0402,72.6,-124.272499,90.0,bottom
C31,4.7nF,C_0402,144.0375,-62.359999,90.0,bottom
C33,0.1uF,C_0402,53.3125,-86.172499,90.0,bottom
C34,4.7nF,C_0402,77.3625,-86.172499,90.0,bottom
C35,4.7nF,C_0402,86.8875,-105.222499,90.0,bottom
C36,4.7nF,C_0402,91.65,-124.272499,90.0,bottom
C37,4.7nF,C_0402,63.075,-143.322499,90.0,bottom
C38,0.1uF,C_0402,72.3625,-86.172499,90.0,bottom
C39,0.1uF,C_0402,91.4125,-86.172499,90.0,bottom
C4,4.7nF,C_0402,82.125,-62.359999,90.0,bottom
C40,4.7nF,C_0402,96.4125,-86.172499,90.0,bottom
C41,4.7nF,C_0402,105.9375,-105.222499,90.0,bottom
C42,4.7nF,C_0402,110.7,-124.272499,90.0,bottom
C43,4.7nF,C_0402,82.125,-143.322499,90.0,bottom
C44,0.1uF,C_0402,110.4625,-86.172499,90.0,bottom
C45,0.1uF,C_0402,129.5125,-86.172499,90.0,bottom
C46,4.7nF,C_0402,115.4625,-86.172499,90.0,bottom
C47,4.7nF,C_0402,124.9875,-105.222499,90.0,bottom
C48,4.7nF,C_0402,129.75,-124.272499,90.0,bottom
C49,4.7nF,C_0402,101.175,-143.322499,90.0,bottom
C5,4.7nF,C_0402,101.175,-62.359999,90.0,bottom
C50,4.7nF,C_0402,163.0875,-62.359999,90.0,bottom
C51,0.1uF,C_0402,15.2125,-86.172499,90.0,bottom
C52,4.7nF,C_0402,134.5125,-86.172499,90.0,bottom
C53,4.7nF,C_0402,144.0375,-105.222499,90.0,bottom
C54,4.7nF,C_0402,148.8,-124.272499,90.0,bottom
C55,4.7nF,C_0402,120.225,-143.322499,90.0,bottom
C56,0.1uF,C_0402,272.3875,-86.172499,90.0,bottom
C57,0.1uF,C_0402,148.5625,-86.172499,90.0,bottom
C58,4.7nF,C_0402,153.5625,-86.172499,90.0,bottom
C59,4.7nF,C_0402,163.0875,-105.222499,90.0,bottom
C6,4.7nF,C_0402,124.9875,-62.359999,90.0,bottom
C60,4.7nF,C_0402,167.85,-124.272499,90.0,bottom
C61,4.7nF,C_0402,139.275,-143.322499,90.0,bottom
C62,4.7nF,C_0402,182.1375,-62.359999,90.0,bottom
C63,0.1uF,C_0402,167.6125,-86.172499,90.0,bottom
C64,4.7nF,C_0402,172.6125,-86.172499,90.0,bottom
C65,4.7nF,C_0402,182.1375,-105.222499,90.0,bottom
